Event.Id,text_cluster
20001213X30396,1
20071113X01787,0
20001214X43966,4
20071012X01580,3
20001213X35086,1
20001213X35136,2
20001211X09866,2
20001213X31555,4
20020917X03549,4
20001213X30618,4
20020917X01929,1
20001211X14189,0
20001212X18445,1
20001211X14037,1
20001206X00835,1
20110105X95224,1
20001212X19357,2
20150311X21724,3
20001213X25819,0
20001214X41449,4
20001212X18474,1
20001213X33871,1
20040426X00512,2
20001213X35253,4
20020917X03438,1
20001211X10440,1
20010627X01270,3
20130916X70045,1
20060706X00880,3
20040615X00793,1
20011105X02193,3
20130909X11748,1
20001208X05528,1
20001213X31996,4
20001214X39175,4
20070316X00300,5
20001213X26157,2
20001213X29400,4
20150120X22925,5
20090312X80102,3
20140824X22102,2
20001207X04365,2
20001212X20054,3
20121202X23953,1
20001211X12105,1
20001212X22331,2
20001212X18036,2
20001214X40097,1
20001206X02239,0
20081011X05309,2
20001212X24475,0
20001214X43490,4
20001214X43326,4
20001212X23897,1
20040506X00572,5
20001214X43433,4
20091223X50505,1
20001213X25217,4
20071130X01878,1
20001212X20834,0
20001212X17512,2
20080602X00766,3
20140805X52809,1
20001206X02543,1
20001214X39666,2
20040318X00333,3
20050810X01199,1
20020917X01917,1
20030129X00126,1
20001213X34885,4
20020520X00705,0
20001207X04307,1
20001212X21343,1
20001213X34839,4
20001213X29120,3
20001211X12367,3
20020730X01251,5
20001208X07520,0
20001214X42074,4
20001208X08611,1
20001213X32153,4
20001211X14732,1
20001212X21142,1
20001213X35265,1
20001214X41820,4
20070208X00156,1
20020917X04558,1
20041129X01878,3
20030618X00903,3
20090608X55712,3
20001211X14632,1
20150716X85404,3
20001212X19281,2
20090619X84742,1
20001213X30140,1
20001212X20373,3
20030107X00030,1
20130618X52823,2
20001207X04596,1
20001213X26987,4
20001213X26270,1
20100309X95845,1
20040817X01232,1
20001213X29439,2
20001214X39829,4
20121118X34829,1
20020830X01501,3
20001214X37011,4
20040827X01300,3
20001214X39973,4
20001211X11175,1
20001213X34863,1
20010806X01609,3
20001212X18600,5
20001211X15849,1
20001211X15239,1
20001207X03899,3
20140106X62933,3
20001212X21136,0
20030722X01165,0
20001211X13871,3
20001213X30164,2
20050120X00086,3
20001212X22838,1
20001213X28506,4
20090319X04510,2
20050302X00249,3
20001206X02665,5
20001211X14097,1
20001214X45094,4
20001212X24262,0
20150602X05750,1
20110802X80758,3
20130623X25322,1
20001205X00436,0
20001211X14056,1
20001213X26799,3
20001212X19736,1
20120320X65632,1
20001214X40801,4
20120302X74637,5
20081121X71827,1
20001211X10872,1
20001208X06460,2
20001208X07942,1
20001212X23038,0
20090417X25758,1
20040831X01331,1
20001212X18683,1
20001213X33752,2
20010110X00151,4
20001213X30569,1
20001214X40449,2
20001211X14764,0
20001214X37276,4
20001213X31759,4
20001207X03223,1
20001211X14115,2
20030325X00380,2
20001211X11934,1
20001212X23665,1
20090911X44346,1
20001214X38350,4
20010925X01989,1
20001211X13497,1
20020917X02381,0
20150120X40744,0
20001213X28841,1
20001211X15086,0
20001208X08192,3
20001212X23006,3
20001213X32506,4
20001214X43120,4
20001213X35342,4
20050420X00488,3
20070507X00520,3
20001213X27435,1
20010608X01102,0
20001211X15189,3
20001213X27639,3
20010806X01614,1
20001214X36068,4
20020521X00707,3
20020917X03727,4
20001207X03088,1
20001212X23759,1
20001208X07360,1
20001213X34361,1
20001213X30303,4
20001214X36902,4
20091001X73524,1
20001212X17371,3
20001212X21197,1
20001212X21678,3
20101130X12357,2
20121121X13305,1
20060228X00247,1
20010806X01615,1
20001212X18496,2
20061115X01675,5
20131126X12657,1
20130502X64041,1
20110517X04418,2
20001213X29417,3
20001214X37369,4
20020917X03478,4
20001214X42372,4
20001208X06518,3
20001211X12140,3
20020815X01393,1
20080718X01070,3
20030729X01220,3
20140617X42217,2
20001206X01293,2
20001213X26290,3
20001213X32503,4
20001214X36046,4
20031112X01890,3
20001213X26265,4
20001212X21510,3
20020917X04183,3
20080808X01189,1
20080410X00447,5
20020917X01724,1
20080401X00405,3
20110506X43134,2
20021108X05449,1
20050921X01499,1
20001214X41535,4
20020917X02807,4
20140918X83147,1
20131210X02046,3
20001208X08220,3
20060331X00375,0
20001213X33300,4
20001214X36962,4
20001208X05969,3
20001208X05921,1
20001213X32250,4
20001214X36634,4
20001212X18432,0
20001208X07408,1
20001214X42676,4
20001214X43500,4
20001211X12142,3
20121024X92730,5
20061024X01553,3
20121218X11015,1
20060106X00016,1
20001220X45457,1
20141107X12803,1
20001213X27760,0
20150616X94016,0
20120428X12401,3
20080624X00900,2
20001214X40348,4
20001214X38672,4
20001212X18048,1
20090127X94610,0
20001213X30286,4
20100331X51222,0
20001213X28819,4
20010626X01256,5
20001213X30288,4
20001213X35079,4
20001214X36819,4
20100515X24431,3
20001214X37594,4
20001206X02189,0
20001213X29031,1
20020917X04100,1
20001214X42856,4
20030624X00950,3
20070523X00623,1
20050311X00303,3
20140422X61449,1
20001211X10985,3
20070817X01199,1
20001212X18868,1
20001212X21163,1
20001206X02443,0
20001211X12841,2
20001211X11519,1
20001212X23720,5
20001213X34869,2
20001213X26581,5
20071226X01987,3
20080229X00247,0
20130920X04503,1
20031202X01980,1
